app,view,theme,resolution,status,ssim,ssim_method,mean_abs_diff,max_abs_diff,changed_pixel_ratio,size_mismatch,acceptance_failures,capture_status,capture_technical_valid,capture_state_valid,capture_evidence_flags,target_file,actual_file,diff_file
hub,detalle,dark,960x600,FAIL,,,,,,,odiff_diff_pct>8,,,,,qa\_mockup_canonical\hub-detalle-dark-960x600.png,qa\_captures_v8\hub-detalle-dark-960x600.png,C:\Users\nosom\AppData\Local\Temp\hub-detalle-dark-960x600-odiff.png
hub,detalle,light,960x600,PASS,,,,,,,,,,,,qa\_mockup_canonical\hub-detalle-light-960x600.png,qa\_captures_v8\hub-detalle-light-960x600.png,C:\Users\nosom\AppData\Local\Temp\hub-detalle-light-960x600-odiff.png
hub,detalle-plan-activacion,dark,960x600,FAIL,,,,,,,odiff_diff_pct>8,,,,,qa\_mockup_canonical\hub-detalle-plan-activacion-dark-960x600.png,qa\_captures_v8\hub-detalle-plan-activacion-dark-960x600.png,C:\Users\nosom\AppData\Local\Temp\hub-detalle-plan-activacion-dark-960x600-odiff.png
hub,detalle-plan-activacion,light,960x600,FAIL,,,,,,,odiff_diff_pct>8,,,,,qa\_mockup_canonical\hub-detalle-plan-activacion-light-960x600.png,qa\_captures_v8\hub-detalle-plan-activacion-light-960x600.png,C:\Users\nosom\AppData\Local\Temp\hub-detalle-plan-activacion-light-960x600-odiff.png
hub,detalle-plan-rutina,dark,960x600,PASS,,,,,,,,,,,,qa\_mockup_canonical\hub-detalle-plan-rutina-dark-960x600.png,qa\_captures_v8\hub-detalle-plan-rutina-dark-960x600.png,C:\Users\nosom\AppData\Local\Temp\hub-detalle-plan-rutina-dark-960x600-odiff.png
hub,detalle-plan-rutina,light,960x600,PASS,,,,,,,,,,,,qa\_mockup_canonical\hub-detalle-plan-rutina-light-960x600.png,qa\_captures_v8\hub-detalle-plan-rutina-light-960x600.png,C:\Users\nosom\AppData\Local\Temp\hub-detalle-plan-rutina-light-960x600-odiff.png
hub,detalle-plan-timer,dark,960x600,FAIL,,,,,,,odiff_diff_pct>8,,,,,qa\_mockup_canonical\hub-detalle-plan-timer-dark-960x600.png,qa\_captures_v8\hub-detalle-plan-timer-dark-960x600.png,C:\Users\nosom\AppData\Local\Temp\hub-detalle-plan-timer-dark-960x600-odiff.png
hub,detalle-plan-timer,light,960x600,FAIL,,,,,,,odiff_diff_pct>8,,,,,qa\_mockup_canonical\hub-detalle-plan-timer-light-960x600.png,qa\_captures_v8\hub-detalle-plan-timer-light-960x600.png,C:\Users\nosom\AppData\Local\Temp\hub-detalle-plan-timer-light-960x600-odiff.png
hub,detalle-resumen-ia-0,dark,480x325,FAIL,,,,,,,odiff_diff_pct>8,,,,,qa\_mockup_canonical\hub-detalle-resumen-ia-0-dark-480x325.png,qa\_captures_v8\hub-detalle-resumen-ia-0-dark-480x325.png,C:\Users\nosom\AppData\Local\Temp\hub-detalle-resumen-ia-0-dark-480x325-odiff.png
hub,detalle-resumen-ia-0,light,480x325,FAIL,,,,,,,odiff_diff_pct>8,,,,,qa\_mockup_canonical\hub-detalle-resumen-ia-0-light-480x325.png,qa\_captures_v8\hub-detalle-resumen-ia-0-light-480x325.png,C:\Users\nosom\AppData\Local\Temp\hub-detalle-resumen-ia-0-light-480x325-odiff.png
hub,pacientes,dark,960x600,PASS,,,,,,,,,,,,qa\_mockup_canonical\hub-pacientes-dark-960x600.png,qa\_captures_v8\hub-pacientes-dark-960x600.png,C:\Users\nosom\AppData\Local\Temp\hub-pacientes-dark-960x600-odiff.png
hub,pacientes,light,960x600,PASS,,,,,,,,,,,,qa\_mockup_canonical\hub-pacientes-light-960x600.png,qa\_captures_v8\hub-pacientes-light-960x600.png,C:\Users\nosom\AppData\Local\Temp\hub-pacientes-light-960x600-odiff.png
hub,pacientes-empty,dark,960x600,PASS,,,,,,,,,,,,qa\_mockup_canonical\hub-pacientes-empty-dark-960x600.png,qa\_captures_v8\hub-pacientes-empty-dark-960x600.png,C:\Users\nosom\AppData\Local\Temp\hub-pacientes-empty-dark-960x600-odiff.png
hub,pacientes-empty,light,960x600,PASS,,,,,,,,,,,,qa\_mockup_canonical\hub-pacientes-empty-light-960x600.png,qa\_captures_v8\hub-pacientes-empty-light-960x600.png,C:\Users\nosom\AppData\Local\Temp\hub-pacientes-empty-light-960x600-odiff.png
hub,textos-globales,dark,960x600,PASS,,,,,,,,,,,,qa\_mockup_canonical\hub-textos-globales-dark-960x600.png,qa\_captures_v8\hub-textos-globales-dark-960x600.png,C:\Users\nosom\AppData\Local\Temp\hub-textos-globales-dark-960x600-odiff.png
hub,textos-globales,light,960x600,PASS,,,,,,,,,,,,qa\_mockup_canonical\hub-textos-globales-light-960x600.png,qa\_captures_v8\hub-textos-globales-light-960x600.png,C:\Users\nosom\AppData\Local\Temp\hub-textos-globales-light-960x600-odiff.png
suite,actividades,dark,960x600,PASS,,,,,,,,,,,,qa\_mockup_canonical\suite-actividades-dark-960x600.png,qa\_captures_v8\suite-actividades-dark-960x600.png,C:\Users\nosom\AppData\Local\Temp\suite-actividades-dark-960x600-odiff.png
suite,actividades,light,960x600,PASS,,,,,,,,,,,,qa\_mockup_canonical\suite-actividades-light-960x600.png,qa\_captures_v8\suite-actividades-light-960x600.png,C:\Users\nosom\AppData\Local\Temp\suite-actividades-light-960x600-odiff.png
suite,actividades-empty,dark,960x600,PASS,,,,,,,,,,,,qa\_mockup_canonical\suite-actividades-empty-dark-960x600.png,qa\_captures_v8\suite-actividades-empty-dark-960x600.png,C:\Users\nosom\AppData\Local\Temp\suite-actividades-empty-dark-960x600-odiff.png
suite,actividades-empty,light,960x600,PASS,,,,,,,,,,,,qa\_mockup_canonical\suite-actividades-empty-light-960x600.png,qa\_captures_v8\suite-actividades-empty-light-960x600.png,C:\Users\nosom\AppData\Local\Temp\suite-actividades-empty-light-960x600-odiff.png
suite,actividades-filtered,dark,960x600,PASS,,,,,,,,,,,,qa\_mockup_canonical\suite-actividades-filtered-dark-960x600.png,qa\_captures_v8\suite-actividades-filtered-dark-960x600.png,C:\Users\nosom\AppData\Local\Temp\suite-actividades-filtered-dark-960x600-odiff.png
suite,actividades-filtered,light,960x600,PASS,,,,,,,,,,,,qa\_mockup_canonical\suite-actividades-filtered-light-960x600.png,qa\_captures_v8\suite-actividades-filtered-light-960x600.png,C:\Users\nosom\AppData\Local\Temp\suite-actividades-filtered-light-960x600-odiff.png
suite,actividades-marked-hice,dark,960x600,PASS,,,,,,,,,,,,qa\_mockup_canonical\suite-actividades-marked-hice-dark-960x600.png,qa\_captures_v8\suite-actividades-marked-hice-dark-960x600.png,C:\Users\nosom\AppData\Local\Temp\suite-actividades-marked-hice-dark-960x600-odiff.png
suite,actividades-marked-hice,light,960x600,PASS,,,,,,,,,,,,qa\_mockup_canonical\suite-actividades-marked-hice-light-960x600.png,qa\_captures_v8\suite-actividades-marked-hice-light-960x600.png,C:\Users\nosom\AppData\Local\Temp\suite-actividades-marked-hice-light-960x600-odiff.png
suite,animo,dark,960x600,PASS,,,,,,,,,,,,qa\_mockup_canonical\suite-animo-dark-960x600.png,qa\_captures_v8\suite-animo-dark-960x600.png,C:\Users\nosom\AppData\Local\Temp\suite-animo-dark-960x600-odiff.png
suite,animo,light,960x600,PASS,,,,,,,,,,,,qa\_mockup_canonical\suite-animo-light-960x600.png,qa\_captures_v8\suite-animo-light-960x600.png,C:\Users\nosom\AppData\Local\Temp\suite-animo-light-960x600-odiff.png
suite,avisos,dark,960x600,PASS,,,,,,,,,,,,qa\_mockup_canonical\suite-avisos-dark-960x600.png,qa\_captures_v8\suite-avisos-dark-960x600.png,C:\Users\nosom\AppData\Local\Temp\suite-avisos-dark-960x600-odiff.png
suite,avisos,light,960x600,PASS,,,,,,,,,,,,qa\_mockup_canonical\suite-avisos-light-960x600.png,qa\_captures_v8\suite-avisos-light-960x600.png,C:\Users\nosom\AppData\Local\Temp\suite-avisos-light-960x600-odiff.png
suite,avisos-empty,dark,960x600,PASS,,,,,,,,,,,,qa\_mockup_canonical\suite-avisos-empty-dark-960x600.png,qa\_captures_v8\suite-avisos-empty-dark-960x600.png,C:\Users\nosom\AppData\Local\Temp\suite-avisos-empty-dark-960x600-odiff.png
suite,avisos-empty,light,960x600,PASS,,,,,,,,,,,,qa\_mockup_canonical\suite-avisos-empty-light-960x600.png,qa\_captures_v8\suite-avisos-empty-light-960x600.png,C:\Users\nosom\AppData\Local\Temp\suite-avisos-empty-light-960x600-odiff.png
suite,avisos-filter-activos,dark,960x600,PASS,,,,,,,,,,,,qa\_mockup_canonical\suite-avisos-filter-activos-dark-960x600.png,qa\_captures_v8\suite-avisos-filter-activos-dark-960x600.png,C:\Users\nosom\AppData\Local\Temp\suite-avisos-filter-activos-dark-960x600-odiff.png
suite,avisos-filter-activos,light,960x600,PASS,,,,,,,,,,,,qa\_mockup_canonical\suite-avisos-filter-activos-light-960x600.png,qa\_captures_v8\suite-avisos-filter-activos-light-960x600.png,C:\Users\nosom\AppData\Local\Temp\suite-avisos-filter-activos-light-960x600-odiff.png
suite,avisos-search,dark,960x600,PASS,,,,,,,,,,,,qa\_mockup_canonical\suite-avisos-search-dark-960x600.png,qa\_captures_v8\suite-avisos-search-dark-960x600.png,C:\Users\nosom\AppData\Local\Temp\suite-avisos-search-dark-960x600-odiff.png
suite,avisos-search,light,960x600,PASS,,,,,,,,,,,,qa\_mockup_canonical\suite-avisos-search-light-960x600.png,qa\_captures_v8\suite-avisos-search-light-960x600.png,C:\Users\nosom\AppData\Local\Temp\suite-avisos-search-light-960x600-odiff.png
suite,avisos-today,dark,960x600,PASS,,,,,,,,,,,,qa\_mockup_canonical\suite-avisos-today-dark-960x600.png,qa\_captures_v8\suite-avisos-today-dark-960x600.png,C:\Users\nosom\AppData\Local\Temp\suite-avisos-today-dark-960x600-odiff.png
suite,avisos-today,light,960x600,PASS,,,,,,,,,,,,qa\_mockup_canonical\suite-avisos-today-light-960x600.png,qa\_captures_v8\suite-avisos-today-light-960x600.png,C:\Users\nosom\AppData\Local\Temp\suite-avisos-today-light-960x600-odiff.png
suite,dbt-library,dark,960x600,PASS,,,,,,,,,,,,qa\_mockup_canonical\suite-dbt-library-dark-960x600.png,qa\_captures_v8\suite-dbt-library-dark-960x600.png,C:\Users\nosom\AppData\Local\Temp\suite-dbt-library-dark-960x600-odiff.png
