app,view,theme,resolution,status,ssim,ssim_method,mean_abs_diff,max_abs_diff,changed_pixel_ratio,size_mismatch,acceptance_failures,capture_status,capture_technical_valid,capture_state_valid,capture_evidence_flags,target_file,actual_file,diff_file
hub,detalle,dark,960x600,FAIL,0.70255,skimage,0.06859,0.92941,0.21119,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\hub-detalle-dark-960x600.png,qa\nm_capturas_actualizadas\hub-detalle-dark-960x600.png,
hub,detalle,light,960x600,FAIL,0.72468,skimage,0.09648,0.81961,0.64293,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\hub-detalle-light-960x600.png,qa\nm_capturas_actualizadas\hub-detalle-light-960x600.png,
hub,detalle-plan-activacion,dark,960x600,FAIL,0.67489,skimage,0.06786,0.92941,0.21368,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\hub-detalle-plan-activacion-dark-960x600.png,qa\nm_capturas_actualizadas\hub-detalle-plan-activacion-dark-960x600.png,
hub,detalle-plan-activacion,light,960x600,FAIL,0.69242,skimage,0.09206,0.81176,0.58064,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\hub-detalle-plan-activacion-light-960x600.png,qa\nm_capturas_actualizadas\hub-detalle-plan-activacion-light-960x600.png,
hub,detalle-plan-rutina,dark,960x600,FAIL,0.71401,skimage,0.06589,0.92941,0.19135,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\hub-detalle-plan-rutina-dark-960x600.png,qa\nm_capturas_actualizadas\hub-detalle-plan-rutina-dark-960x600.png,
hub,detalle-plan-rutina,light,960x600,FAIL,0.73259,skimage,0.09463,0.81176,0.62939,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\hub-detalle-plan-rutina-light-960x600.png,qa\nm_capturas_actualizadas\hub-detalle-plan-rutina-light-960x600.png,
hub,detalle-plan-timer,dark,960x600,FAIL,0.69154,skimage,0.06812,0.92941,0.2072,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\hub-detalle-plan-timer-dark-960x600.png,qa\nm_capturas_actualizadas\hub-detalle-plan-timer-dark-960x600.png,
hub,detalle-plan-timer,light,960x600,FAIL,0.71107,skimage,0.09581,0.81176,0.62369,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\hub-detalle-plan-timer-light-960x600.png,qa\nm_capturas_actualizadas\hub-detalle-plan-timer-light-960x600.png,
hub,detalle-resumen-ia-0,dark,480x325,FAIL,0.73257,skimage,0.05488,0.81176,0.15155,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\hub-detalle-resumen-ia-0-dark-480x325.png,qa\nm_capturas_actualizadas\hub-detalle-resumen-ia-0-dark-480x325.png,
hub,detalle-resumen-ia-0,light,480x325,FAIL,0.73669,skimage,0.06433,0.80392,0.14451,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\hub-detalle-resumen-ia-0-light-480x325.png,qa\nm_capturas_actualizadas\hub-detalle-resumen-ia-0-light-480x325.png,
hub,pacientes,dark,960x600,FAIL,0.72162,skimage,0.05319,0.95294,0.15681,False,"ssim<0.92,mad>0.035,changed>0.08,capture_state_not_product_evidence",REQUIRES_DATA_STATE,True,False,REQUIRES_DATA_STATE,qa\_mockup_targets\hub-pacientes-dark-960x600.png,qa\nm_capturas_actualizadas\hub-pacientes-dark-960x600.png,
hub,pacientes,light,960x600,FAIL,0.73361,skimage,0.06882,0.81961,0.53472,False,"ssim<0.92,mad>0.035,changed>0.08,capture_state_not_product_evidence",REQUIRES_DATA_STATE,True,False,REQUIRES_DATA_STATE,qa\_mockup_targets\hub-pacientes-light-960x600.png,qa\nm_capturas_actualizadas\hub-pacientes-light-960x600.png,
hub,pacientes-empty,dark,960x600,FAIL,0.87649,skimage,0.0245,0.83137,0.10045,False,"ssim<0.92,changed>0.08,capture_state_not_product_evidence",REQUIRES_DATA_STATE,True,False,REQUIRES_DATA_STATE,qa\_mockup_targets\hub-pacientes-empty-dark-960x600.png,qa\nm_capturas_actualizadas\hub-pacientes-empty-dark-960x600.png,
hub,pacientes-empty,light,960x600,FAIL,0.88316,skimage,0.0298,0.81569,0.19497,False,"ssim<0.92,changed>0.08,capture_state_not_product_evidence",REQUIRES_DATA_STATE,True,False,REQUIRES_DATA_STATE,qa\_mockup_targets\hub-pacientes-empty-light-960x600.png,qa\nm_capturas_actualizadas\hub-pacientes-empty-light-960x600.png,
hub,textos-globales,dark,960x600,FAIL,0.59464,skimage,0.05352,0.83922,0.24355,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\hub-textos-globales-dark-960x600.png,qa\nm_capturas_actualizadas\hub-textos-globales-dark-960x600.png,
hub,textos-globales,light,960x600,FAIL,0.5927,skimage,0.06143,0.81961,0.66329,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\hub-textos-globales-light-960x600.png,qa\nm_capturas_actualizadas\hub-textos-globales-light-960x600.png,
suite,actividades,dark,960x600,FAIL,0.67488,skimage,0.04988,0.86667,0.20324,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-actividades-dark-960x600.png,qa\nm_capturas_actualizadas\suite-actividades-dark-960x600.png,
suite,actividades,light,960x600,FAIL,0.68278,skimage,0.05767,0.81176,0.37799,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-actividades-light-960x600.png,qa\nm_capturas_actualizadas\suite-actividades-light-960x600.png,
suite,actividades-empty,dark,960x600,FAIL,0.90278,skimage,0.03957,0.83922,0.09331,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-actividades-empty-dark-960x600.png,qa\nm_capturas_actualizadas\suite-actividades-empty-dark-960x600.png,
suite,actividades-empty,light,960x600,FAIL,0.93639,skimage,0.08137,0.79216,0.92001,False,"mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-actividades-empty-light-960x600.png,qa\nm_capturas_actualizadas\suite-actividades-empty-light-960x600.png,
suite,actividades-filtered,dark,960x600,FAIL,0.7993,skimage,0.04427,0.83922,0.11328,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-actividades-filtered-dark-960x600.png,qa\nm_capturas_actualizadas\suite-actividades-filtered-dark-960x600.png,
suite,actividades-filtered,light,960x600,FAIL,0.82213,skimage,0.07782,0.81176,0.73046,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-actividades-filtered-light-960x600.png,qa\nm_capturas_actualizadas\suite-actividades-filtered-light-960x600.png,
suite,actividades-marked-hice,dark,960x600,FAIL,0.67926,skimage,0.04954,0.86667,0.20469,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-actividades-marked-hice-dark-960x600.png,qa\nm_capturas_actualizadas\suite-actividades-marked-hice-dark-960x600.png,
