app,view,theme,resolution,status,ssim,ssim_method,mean_abs_diff,max_abs_diff,changed_pixel_ratio,size_mismatch,acceptance_failures,capture_status,capture_technical_valid,capture_state_valid,capture_evidence_flags,target_file,actual_file,diff_file
hub,detalle,dark,960x600,FAIL,0.71164,skimage,0.06454,0.90196,0.161,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/hub-detalle-dark-960x600.png,qa/_captures_v8_fresh/hub-detalle-dark-960x600.png,qa/_fidelity_fresh/hub-detalle-dark-960x600-diff.png
hub,detalle,light,960x600,FAIL,0.73315,skimage,0.09295,0.81176,0.60119,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/hub-detalle-light-960x600.png,qa/_captures_v8_fresh/hub-detalle-light-960x600.png,qa/_fidelity_fresh/hub-detalle-light-960x600-diff.png
hub,detalle-plan-activacion,dark,960x600,FAIL,0.68001,skimage,0.06625,0.90196,0.16723,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/hub-detalle-plan-activacion-dark-960x600.png,qa/_captures_v8_fresh/hub-detalle-plan-activacion-dark-960x600.png,qa/_fidelity_fresh/hub-detalle-plan-activacion-dark-960x600-diff.png
hub,detalle-plan-activacion,light,960x600,FAIL,0.69341,skimage,0.09195,0.81176,0.54052,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/hub-detalle-plan-activacion-light-960x600.png,qa/_captures_v8_fresh/hub-detalle-plan-activacion-light-960x600.png,qa/_fidelity_fresh/hub-detalle-plan-activacion-light-960x600-diff.png
hub,detalle-plan-rutina,dark,960x600,FAIL,0.72356,skimage,0.06047,0.90196,0.1447,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/hub-detalle-plan-rutina-dark-960x600.png,qa/_captures_v8_fresh/hub-detalle-plan-rutina-dark-960x600.png,qa/_fidelity_fresh/hub-detalle-plan-rutina-dark-960x600-diff.png
hub,detalle-plan-rutina,light,960x600,FAIL,0.74223,skimage,0.09013,0.81176,0.58482,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/hub-detalle-plan-rutina-light-960x600.png,qa/_captures_v8_fresh/hub-detalle-plan-rutina-light-960x600.png,qa/_fidelity_fresh/hub-detalle-plan-rutina-light-960x600-diff.png
hub,detalle-plan-timer,dark,960x600,FAIL,0.69798,skimage,0.06363,0.90196,0.15567,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/hub-detalle-plan-timer-dark-960x600.png,qa/_captures_v8_fresh/hub-detalle-plan-timer-dark-960x600.png,qa/_fidelity_fresh/hub-detalle-plan-timer-dark-960x600-diff.png
hub,detalle-plan-timer,light,960x600,FAIL,0.7153,skimage,0.09123,0.81176,0.58647,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/hub-detalle-plan-timer-light-960x600.png,qa/_captures_v8_fresh/hub-detalle-plan-timer-light-960x600.png,qa/_fidelity_fresh/hub-detalle-plan-timer-light-960x600-diff.png
hub,detalle-resumen-ia-0,dark,480x325,FAIL,0.73064,skimage,0.05338,0.81176,0.14515,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/hub-detalle-resumen-ia-0-dark-480x325.png,qa/_captures_v8_fresh/hub-detalle-resumen-ia-0-dark-480x325.png,qa/_fidelity_fresh/hub-detalle-resumen-ia-0-dark-480x325-diff.png
hub,detalle-resumen-ia-0,light,480x325,FAIL,0.73404,skimage,0.06449,0.80392,0.14129,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/hub-detalle-resumen-ia-0-light-480x325.png,qa/_captures_v8_fresh/hub-detalle-resumen-ia-0-light-480x325.png,qa/_fidelity_fresh/hub-detalle-resumen-ia-0-light-480x325-diff.png
hub,pacientes,dark,960x600,FAIL,0.73022,skimage,0.05113,0.92941,0.11928,False,"ssim<0.92,mad>0.035,changed>0.08,capture_state_not_product_evidence",REQUIRES_DATA_STATE,True,False,REQUIRES_DATA_STATE,qa/_mockup_targets/hub-pacientes-dark-960x600.png,qa/_captures_v8_fresh/hub-pacientes-dark-960x600.png,qa/_fidelity_fresh/hub-pacientes-dark-960x600-diff.png
hub,pacientes,light,960x600,FAIL,0.74498,skimage,0.06726,0.81569,0.50372,False,"ssim<0.92,mad>0.035,changed>0.08,capture_state_not_product_evidence",REQUIRES_DATA_STATE,True,False,REQUIRES_DATA_STATE,qa/_mockup_targets/hub-pacientes-light-960x600.png,qa/_captures_v8_fresh/hub-pacientes-light-960x600.png,qa/_fidelity_fresh/hub-pacientes-light-960x600-diff.png
hub,pacientes-empty,dark,960x600,FAIL,0.89723,skimage,0.02022,0.83137,0.05773,False,"ssim<0.92,capture_state_not_product_evidence",REQUIRES_DATA_STATE,True,False,REQUIRES_DATA_STATE,qa/_mockup_targets/hub-pacientes-empty-dark-960x600.png,qa/_captures_v8_fresh/hub-pacientes-empty-dark-960x600.png,qa/_fidelity_fresh/hub-pacientes-empty-dark-960x600-diff.png
hub,pacientes-empty,light,960x600,FAIL,0.90569,skimage,0.0241,0.81961,0.15637,False,"ssim<0.92,changed>0.08,capture_state_not_product_evidence",REQUIRES_DATA_STATE,True,False,REQUIRES_DATA_STATE,qa/_mockup_targets/hub-pacientes-empty-light-960x600.png,qa/_captures_v8_fresh/hub-pacientes-empty-light-960x600.png,qa/_fidelity_fresh/hub-pacientes-empty-light-960x600-diff.png
hub,textos-globales,dark,960x600,FAIL,0.62336,skimage,0.04821,0.86667,0.22795,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/hub-textos-globales-dark-960x600.png,qa/_captures_v8_fresh/hub-textos-globales-dark-960x600.png,qa/_fidelity_fresh/hub-textos-globales-dark-960x600-diff.png
hub,textos-globales,light,960x600,FAIL,0.63576,skimage,0.05746,0.81961,0.65213,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/hub-textos-globales-light-960x600.png,qa/_captures_v8_fresh/hub-textos-globales-light-960x600.png,qa/_fidelity_fresh/hub-textos-globales-light-960x600-diff.png
