app,view,theme,resolution,status,ssim,ssim_method,mean_abs_diff,max_abs_diff,changed_pixel_ratio,size_mismatch,target_file,actual_file,diff_file
hub,detalle,dark,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\hub-detalle-dark-960x600.png,qa\_mockup_targets\hub-detalle-dark-960x600.png,
hub,detalle,light,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\hub-detalle-light-960x600.png,qa\_mockup_targets\hub-detalle-light-960x600.png,
hub,detalle-plan-activacion,dark,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\hub-detalle-plan-activacion-dark-960x600.png,qa\_mockup_targets\hub-detalle-plan-activacion-dark-960x600.png,
hub,detalle-plan-activacion,light,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\hub-detalle-plan-activacion-light-960x600.png,qa\_mockup_targets\hub-detalle-plan-activacion-light-960x600.png,
hub,detalle-plan-rutina,dark,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\hub-detalle-plan-rutina-dark-960x600.png,qa\_mockup_targets\hub-detalle-plan-rutina-dark-960x600.png,
hub,detalle-plan-rutina,light,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\hub-detalle-plan-rutina-light-960x600.png,qa\_mockup_targets\hub-detalle-plan-rutina-light-960x600.png,
hub,detalle-plan-timer,dark,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\hub-detalle-plan-timer-dark-960x600.png,qa\_mockup_targets\hub-detalle-plan-timer-dark-960x600.png,
hub,detalle-plan-timer,light,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\hub-detalle-plan-timer-light-960x600.png,qa\_mockup_targets\hub-detalle-plan-timer-light-960x600.png,
hub,detalle-resumen-ia-0,dark,480x325,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\hub-detalle-resumen-ia-0-dark-480x325.png,qa\_mockup_targets\hub-detalle-resumen-ia-0-dark-480x325.png,
hub,detalle-resumen-ia-0,light,480x325,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\hub-detalle-resumen-ia-0-light-480x325.png,qa\_mockup_targets\hub-detalle-resumen-ia-0-light-480x325.png,
hub,pacientes,dark,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\hub-pacientes-dark-960x600.png,qa\_mockup_targets\hub-pacientes-dark-960x600.png,
hub,pacientes,light,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\hub-pacientes-light-960x600.png,qa\_mockup_targets\hub-pacientes-light-960x600.png,
hub,pacientes-empty,dark,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\hub-pacientes-empty-dark-960x600.png,qa\_mockup_targets\hub-pacientes-empty-dark-960x600.png,
hub,pacientes-empty,light,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\hub-pacientes-empty-light-960x600.png,qa\_mockup_targets\hub-pacientes-empty-light-960x600.png,
