surface,app,theme,category,odiff_status,diff_pct,vas_pass,vas_fail,divergences,prelim_classification
hub:detalle-plan-activacion@dark,hub,dark,A,PASS,5.97,3,0,,
hub:detalle-plan-activacion@light,hub,light,A,PASS,5.97,1,0,,
hub:detalle-plan-rutina@dark,hub,dark,A,PASS,5.08,3,0,,
hub:detalle-plan-rutina@light,hub,light,A,PASS,4.89,1,0,,
hub:detalle-plan-timer@dark,hub,dark,A,PASS,5.86,3,0,,
hub:detalle-plan-timer@light,hub,light,A,PASS,5.78,1,0,,
hub:detalle-resumen-ia-0@dark,hub,dark,C,FAIL,9.18,1,0,,
hub:detalle-resumen-ia-0@light,hub,light,C,FAIL,8.55,1,0,,
hub:detalle@dark,hub,dark,A,PASS,5.97,3,0,,
hub:detalle@light,hub,light,A,PASS,5.87,1,0,,
hub:pacientes-empty@dark,hub,dark,A,PASS,1.16,1,0,,
hub:pacientes-empty@light,hub,light,A,PASS,1.07,3,0,,
hub:pacientes@dark,hub,dark,B,PASS,4.87,5,1,"COLOR_MISMATCH(icons,Δ=18.0)",requiere_inspeccion_visual
hub:pacientes@light,hub,light,A,PASS,4.64,1,0,,
hub:textos-globales@dark,hub,dark,A,PASS,2.37,3,0,,
hub:textos-globales@light,hub,light,A,PASS,1.95,3,0,,
suite:actividades-empty@dark,suite,dark,A,PASS,0.88,3,0,,
suite:actividades-empty@light,suite,light,A,PASS,0.82,3,0,,
suite:actividades-filtered@dark,suite,dark,A,PASS,1.67,6,0,,
suite:actividades-filtered@light,suite,light,A,PASS,1.59,4,0,,
suite:actividades-marked-hice@dark,suite,dark,A,PASS,2.69,6,0,,
suite:actividades-marked-hice@light,suite,light,A,PASS,2.45,4,0,,
suite:actividades@dark,suite,dark,A,PASS,2.68,6,0,,
suite:actividades@light,suite,light,A,PASS,2.47,4,0,,
suite:animo@dark,suite,dark,A,PASS,2.77,6,0,,
suite:animo@light,suite,light,A,PASS,4.39,4,0,,
suite:avisos-empty@dark,suite,dark,A,PASS,0.91,3,0,,
suite:avisos-empty@light,suite,light,A,PASS,0.83,3,0,,
suite:avisos-filter-activos@dark,suite,dark,A,PASS,1.94,6,0,,
suite:avisos-filter-activos@light,suite,light,A,PASS,1.82,4,0,,
suite:avisos-search@dark,suite,dark,B,PASS,1.08,3,2,"COLOR_MISMATCH(card_group,Δ=21.8); COLOR_MISMATCH(icons,Δ=51.0)",color/shadow theme
suite:avisos-search@light,suite,light,B,PASS,0.96,1,2,"COLOR_MISMATCH(card_group,Δ=13.6); COLOR_MISMATCH(icons,Δ=43.3)",color/shadow theme
suite:avisos-today@dark,suite,dark,A,PASS,1.77,6,0,,
suite:avisos-today@light,suite,light,A,PASS,1.67,4,0,,
suite:avisos@dark,suite,dark,A,PASS,2.2,6,0,,
suite:avisos@light,suite,light,A,PASS,2.05,4,0,,
suite:dbt-library@dark,suite,dark,A,PASS,3.33,3,0,,
suite:dbt-library@light,suite,light,A,PASS,3.19,1,0,,
suite:dbt-now@dark,suite,dark,A,PASS,2.15,6,0,,
suite:dbt-now@light,suite,light,A,PASS,1.88,4,0,,
suite:dbt-practice-stop@dark,suite,dark,A,PASS,3.27,3,0,,
suite:dbt-practice-stop@light,suite,light,C,FAIL,55.93,1,0,,
suite:home-no-score@dark,suite,dark,A,PASS,3.84,6,0,,
suite:home-no-score@light,suite,light,A,PASS,3.59,4,0,,
suite:home@dark,suite,dark,A,PASS,4.79,6,0,,
suite:home@light,suite,light,A,PASS,4.54,4,0,,
suite:onboarding-error@dark,suite,dark,A,PASS,5.89,1,0,,
suite:onboarding-error@light,suite,light,A,PASS,6.39,1,0,,
suite:onboarding@dark,suite,dark,A,PASS,5.41,1,0,,
suite:onboarding@light,suite,light,A,PASS,5.61,1,0,,
suite:recuperar-acceso@dark,suite,dark,A,PASS,5.57,1,0,,
suite:recuperar-acceso@light,suite,light,A,PASS,5.92,1,0,,
suite:registro-step1-emotion-otro@dark,suite,dark,A,PASS,5.47,3,0,,
suite:registro-step1-emotion-otro@light,suite,light,A,PASS,5.45,3,0,,
