key,canonical_file,v8_file,canonical_size,v8_size,status
hub:detalle-plan-activacion@dark,hub-detalle-plan-activacion-dark-960x600.png,hub-detalle-plan-activacion-dark-960x600.png,"(960, 600)","(960, 600)",PAIRED
hub:detalle-plan-activacion@light,hub-detalle-plan-activacion-light-960x600.png,hub-detalle-plan-activacion-light-960x600.png,"(960, 600)","(960, 600)",PAIRED
hub:detalle-plan-rutina@dark,hub-detalle-plan-rutina-dark-960x600.png,hub-detalle-plan-rutina-dark-960x600.png,"(960, 600)","(960, 600)",PAIRED
hub:detalle-plan-rutina@light,hub-detalle-plan-rutina-light-960x600.png,hub-detalle-plan-rutina-light-960x600.png,"(960, 600)","(960, 600)",PAIRED
hub:detalle-plan-timer@dark,hub-detalle-plan-timer-dark-960x600.png,hub-detalle-plan-timer-dark-960x600.png,"(960, 600)","(960, 600)",PAIRED
hub:detalle-plan-timer@light,hub-detalle-plan-timer-light-960x600.png,hub-detalle-plan-timer-light-960x600.png,"(960, 600)","(960, 600)",PAIRED
hub:detalle-resumen-ia-0@dark,hub-detalle-resumen-ia-0-dark-560x220.png,hub-detalle-resumen-ia-0-dark-480x325.png,"(560, 220)","(480, 325)",SIZE_MISMATCH
hub:detalle-resumen-ia-0@light,hub-detalle-resumen-ia-0-light-560x220.png,hub-detalle-resumen-ia-0-light-480x325.png,"(560, 220)","(480, 325)",SIZE_MISMATCH
hub:detalle@dark,hub-detalle-dark-960x600.png,hub-detalle-dark-960x600.png,"(960, 600)","(960, 600)",PAIRED
hub:detalle@light,hub-detalle-light-960x600.png,hub-detalle-light-960x600.png,"(960, 600)","(960, 600)",PAIRED
hub:pacientes-empty@dark,hub-pacientes-empty-dark-960x600.png,hub-pacientes-empty-dark-960x600.png,"(960, 600)","(960, 600)",PAIRED
hub:pacientes-empty@light,hub-pacientes-empty-light-960x600.png,hub-pacientes-empty-light-960x600.png,"(960, 600)","(960, 600)",PAIRED
hub:pacientes@dark,hub-pacientes-dark-960x600.png,hub-pacientes-dark-960x600.png,"(960, 600)","(960, 600)",PAIRED
hub:pacientes@light,hub-pacientes-light-960x600.png,hub-pacientes-light-960x600.png,"(960, 600)","(960, 600)",PAIRED
hub:textos-globales@dark,hub-textos-globales-dark-960x600.png,hub-textos-globales-dark-960x600.png,"(960, 600)","(960, 600)",PAIRED
hub:textos-globales@light,hub-textos-globales-light-960x600.png,hub-textos-globales-light-960x600.png,"(960, 600)","(960, 600)",PAIRED
suite:actividades-empty@dark,suite-actividades-empty-dark-960x600.png,suite-actividades-empty-dark-960x600.png,"(960, 600)","(960, 600)",PAIRED
suite:actividades-empty@light,suite-actividades-empty-light-960x600.png,suite-actividades-empty-light-960x600.png,"(960, 600)","(960, 600)",PAIRED
suite:actividades-filtered@dark,suite-actividades-filtered-dark-960x600.png,suite-actividades-filtered-dark-960x600.png,"(960, 600)","(960, 600)",PAIRED
suite:actividades-filtered@light,suite-actividades-filtered-light-960x600.png,suite-actividades-filtered-light-960x600.png,"(960, 600)","(960, 600)",PAIRED
suite:actividades-marked-hice@dark,suite-actividades-marked-hice-dark-960x600.png,suite-actividades-marked-hice-dark-960x600.png,"(960, 600)","(960, 600)",PAIRED
suite:actividades-marked-hice@light,suite-actividades-marked-hice-light-960x600.png,suite-actividades-marked-hice-light-960x600.png,"(960, 600)","(960, 600)",PAIRED
suite:actividades@dark,suite-actividades-dark-960x600.png,suite-actividades-dark-960x600.png,"(960, 600)","(960, 600)",PAIRED
suite:actividades@light,suite-actividades-light-960x600.png,suite-actividades-light-960x600.png,"(960, 600)","(960, 600)",PAIRED
suite:animo@dark,suite-animo-dark-960x600.png,suite-animo-dark-960x600.png,"(960, 600)","(960, 600)",PAIRED
suite:animo@light,suite-animo-light-960x600.png,suite-animo-light-960x600.png,"(960, 600)","(960, 600)",PAIRED
suite:avisos-empty@dark,suite-avisos-empty-dark-960x600.png,suite-avisos-empty-dark-960x600.png,"(960, 600)","(960, 600)",PAIRED
