key,line,checked,open,exit_code,result,report_dir,stdout,stderr,sidecar_exists
suite:recuperar-acceso@light,486,True,False,0,PASS_CURRENT,C:\Users\nosom\Desktop\nm_suite\reports\qa\handoff_false_pass_audit\20260630_113720\suite_recuperar-acceso_light\layered,C:\Users\nosom\Desktop\nm_suite\reports\qa\handoff_false_pass_audit\20260630_113720\suite_recuperar-acceso_light\stdout.log,C:\Users\nosom\Desktop\nm_suite\reports\qa\handoff_false_pass_audit\20260630_113720\suite_recuperar-acceso_light\stderr.log,True
suite:onboarding-error@light,491,True,False,0,PASS_CURRENT,C:\Users\nosom\Desktop\nm_suite\reports\qa\handoff_false_pass_audit\20260630_113720\suite_onboarding-error_light\layered,C:\Users\nosom\Desktop\nm_suite\reports\qa\handoff_false_pass_audit\20260630_113720\suite_onboarding-error_light\stdout.log,C:\Users\nosom\Desktop\nm_suite\reports\qa\handoff_false_pass_audit\20260630_113720\suite_onboarding-error_light\stderr.log,True
suite:onboarding@light,493,True,False,0,PASS_CURRENT,C:\Users\nosom\Desktop\nm_suite\reports\qa\handoff_false_pass_audit\20260630_113720\suite_onboarding_light\layered,C:\Users\nosom\Desktop\nm_suite\reports\qa\handoff_false_pass_audit\20260630_113720\suite_onboarding_light\stdout.log,C:\Users\nosom\Desktop\nm_suite\reports\qa\handoff_false_pass_audit\20260630_113720\suite_onboarding_light\stderr.log,True
suite:recuperar-acceso@dark,495,True,False,0,PASS_CURRENT,C:\Users\nosom\Desktop\nm_suite\reports\qa\handoff_false_pass_audit\20260630_113720\suite_recuperar-acceso_dark\layered,C:\Users\nosom\Desktop\nm_suite\reports\qa\handoff_false_pass_audit\20260630_113720\suite_recuperar-acceso_dark\stdout.log,C:\Users\nosom\Desktop\nm_suite\reports\qa\handoff_false_pass_audit\20260630_113720\suite_recuperar-acceso_dark\stderr.log,True
suite:onboarding-error@dark,527,True,False,0,PASS_CURRENT,C:\Users\nosom\Desktop\nm_suite\reports\qa\handoff_false_pass_audit\20260630_113720\suite_onboarding-error_dark\layered,C:\Users\nosom\Desktop\nm_suite\reports\qa\handoff_false_pass_audit\20260630_113720\suite_onboarding-error_dark\stdout.log,C:\Users\nosom\Desktop\nm_suite\reports\qa\handoff_false_pass_audit\20260630_113720\suite_onboarding-error_dark\stderr.log,True
suite:onboarding@dark,540,True,False,0,PASS_CURRENT,C:\Users\nosom\Desktop\nm_suite\reports\qa\handoff_false_pass_audit\20260630_113720\suite_onboarding_dark\layered,C:\Users\nosom\Desktop\nm_suite\reports\qa\handoff_false_pass_audit\20260630_113720\suite_onboarding_dark\stdout.log,C:\Users\nosom\Desktop\nm_suite\reports\qa\handoff_false_pass_audit\20260630_113720\suite_onboarding_dark\stderr.log,True
suite:registro-step2-distortions@light,556,True,False,1,FALSE_PASS_OR_STILL_FAIL,C:\Users\nosom\Desktop\nm_suite\reports\qa\handoff_false_pass_audit\20260630_113720\suite_registro-step2-distortions_light\layered,C:\Users\nosom\Desktop\nm_suite\reports\qa\handoff_false_pass_audit\20260630_113720\suite_registro-step2-distortions_light\stdout.log,C:\Users\nosom\Desktop\nm_suite\reports\qa\handoff_false_pass_audit\20260630_113720\suite_registro-step2-distortions_light\stderr.log,True
suite:registro-step3-filled@light,558,True,False,1,FALSE_PASS_OR_STILL_FAIL,C:\Users\nosom\Desktop\nm_suite\reports\qa\handoff_false_pass_audit\20260630_113720\suite_registro-step3-filled_light\layered,C:\Users\nosom\Desktop\nm_suite\reports\qa\handoff_false_pass_audit\20260630_113720\suite_registro-step3-filled_light\stdout.log,C:\Users\nosom\Desktop\nm_suite\reports\qa\handoff_false_pass_audit\20260630_113720\suite_registro-step3-filled_light\stderr.log,True
suite:registro@light,560,True,False,1,FALSE_PASS_OR_STILL_FAIL,C:\Users\nosom\Desktop\nm_suite\reports\qa\handoff_false_pass_audit\20260630_113720\suite_registro_light\layered,C:\Users\nosom\Desktop\nm_suite\reports\qa\handoff_false_pass_audit\20260630_113720\suite_registro_light\stdout.log,C:\Users\nosom\Desktop\nm_suite\reports\qa\handoff_false_pass_audit\20260630_113720\suite_registro_light\stderr.log,True
suite:registro-step2-distortions@dark,562,True,False,1,FALSE_PASS_OR_STILL_FAIL,C:\Users\nosom\Desktop\nm_suite\reports\qa\handoff_false_pass_audit\20260630_113720\suite_registro-step2-distortions_dark\layered,C:\Users\nosom\Desktop\nm_suite\reports\qa\handoff_false_pass_audit\20260630_113720\suite_registro-step2-distortions_dark\stdout.log,C:\Users\nosom\Desktop\nm_suite\reports\qa\handoff_false_pass_audit\20260630_113720\suite_registro-step2-distortions_dark\stderr.log,True
suite:registro-step1-emotion-otro@light,564,True,False,1,FALSE_PASS_OR_STILL_FAIL,C:\Users\nosom\Desktop\nm_suite\reports\qa\handoff_false_pass_audit\20260630_113720\suite_registro-step1-emotion-otro_light\layered,C:\Users\nosom\Desktop\nm_suite\reports\qa\handoff_false_pass_audit\20260630_113720\suite_registro-step1-emotion-otro_light\stdout.log,C:\Users\nosom\Desktop\nm_suite\reports\qa\handoff_false_pass_audit\20260630_113720\suite_registro-step1-emotion-otro_light\stderr.log,True
