key,status,severity,repair_bucket,real_divergence,suspicious_perfect_match,findings,raw_changed_ratio,mean_abs_diff,ssim,odiff_pct,max_bbox_delta_px,largest_region_ratio,canonical_file,actual_file,panel_path
suite:registro-step1-emotion-otro@dark,FAIL,medium,STATE_RECIPE_OR_PRODUCT_FIX,True,False,"raw_pixel_delta,layout_drift,state_or_recipe_suspect,qa_missed_raw_or_layout",0.10279,0.04565,0.07271,5.52,112,0.012818,qa\_mockup_canonical\suite-registro-step1-emotion-otro-dark-960x600.png,qa\_captures_v8\suite-registro-step1-emotion-otro-dark-960x600.png,reports\qa\layered_visual_compare_registro\panels\suite_registro-step1-emotion-otro_dark.png
suite:registro-step1-emotion-otro@light,FAIL,medium,STATE_RECIPE_OR_PRODUCT_FIX,True,False,"raw_pixel_delta,state_or_recipe_suspect,qa_missed_raw_or_layout",0.10213,0.05271,0.08891,5.49,1,0.015354,qa\_mockup_canonical\suite-registro-step1-emotion-otro-light-960x600.png,qa\_captures_v8\suite-registro-step1-emotion-otro-light-960x600.png,reports\qa\layered_visual_compare_registro\panels\suite_registro-step1-emotion-otro_light.png
suite:registro-step1-emotion@dark,FAIL,medium,STATE_RECIPE_OR_PRODUCT_FIX,True,False,"raw_pixel_delta,layout_drift,state_or_recipe_suspect,qa_missed_raw_or_layout",0.09227,0.04174,0.11997,5.4,112,0.023969,qa\_mockup_canonical\suite-registro-step1-emotion-dark-960x600.png,qa\_captures_v8\suite-registro-step1-emotion-dark-960x600.png,reports\qa\layered_visual_compare_registro\panels\suite_registro-step1-emotion_dark.png
suite:registro-step1-emotion@light,FAIL,medium,STATE_RECIPE_OR_PRODUCT_FIX,True,False,"raw_pixel_delta,state_or_recipe_suspect,qa_missed_raw_or_layout",0.09157,0.0485,0.1349,5.36,1,0.024009,qa\_mockup_canonical\suite-registro-step1-emotion-light-960x600.png,qa\_captures_v8\suite-registro-step1-emotion-light-960x600.png,reports\qa\layered_visual_compare_registro\panels\suite_registro-step1-emotion_light.png
suite:registro-step2-distortions@dark,FAIL,medium,STATE_RECIPE_OR_PRODUCT_FIX,True,False,"layout_drift,state_or_recipe_suspect,qa_missed_raw_or_layout",0.09795,0.03171,0.38833,2.57,112,0.017045,qa\_mockup_canonical\suite-registro-step2-distortions-dark-960x600.png,qa\_captures_v8\suite-registro-step2-distortions-dark-960x600.png,reports\qa\layered_visual_compare_registro\panels\suite_registro-step2-distortions_dark.png
suite:registro-step2-distortions@light,PASS,none,NONE,False,False,,0.09728,0.03132,0.41436,2.45,15,0.017071,qa\_mockup_canonical\suite-registro-step2-distortions-light-960x600.png,qa\_captures_v8\suite-registro-step2-distortions-light-960x600.png,reports\qa\layered_visual_compare_registro\panels\suite_registro-step2-distortions_light.png
suite:registro-step3-filled@dark,FAIL,medium,STATE_RECIPE_OR_PRODUCT_FIX,True,False,"layout_drift,state_or_recipe_suspect,qa_missed_raw_or_layout",0.06593,0.02966,0.29423,2.39,140,0.007889,qa\_mockup_canonical\suite-registro-step3-filled-dark-960x600.png,qa\_captures_v8\suite-registro-step3-filled-dark-960x600.png,reports\qa\layered_visual_compare_registro\panels\suite_registro-step3-filled_dark.png
suite:registro-step3-filled@light,PASS,none,NONE,False,False,,0.06384,0.03068,0.34569,2.35,1,0.008333,qa\_mockup_canonical\suite-registro-step3-filled-light-960x600.png,qa\_captures_v8\suite-registro-step3-filled-light-960x600.png,reports\qa\layered_visual_compare_registro\panels\suite_registro-step3-filled_light.png
suite:registro-success@dark,FAIL,medium,STATE_RECIPE_OR_PRODUCT_FIX,True,False,"layout_drift,state_or_recipe_suspect,qa_missed_raw_or_layout",0.04122,0.01375,0.27872,0.98,281,0.007514,qa\_mockup_canonical\suite-registro-success-dark-960x600.png,qa\_captures_v8\suite-registro-success-dark-960x600.png,reports\qa\layered_visual_compare_registro\panels\suite_registro-success_dark.png
suite:registro-success@light,PASS,none,NONE,False,False,,0.04054,0.01509,0.4016,0.97,15,0.007622,qa\_mockup_canonical\suite-registro-success-light-960x600.png,qa\_captures_v8\suite-registro-success-light-960x600.png,reports\qa\layered_visual_compare_registro\panels\suite_registro-success_light.png
suite:registro@dark,FAIL,medium,STATE_RECIPE_OR_PRODUCT_FIX,True,False,"layout_drift,state_or_recipe_suspect,qa_missed_raw_or_layout",0.06031,0.02163,0.38911,1.43,140,0.0102,qa\_mockup_canonical\suite-registro-dark-960x600.png,qa\_captures_v8\suite-registro-dark-960x600.png,reports\qa\layered_visual_compare_registro\panels\suite_registro_dark.png
suite:registro@light,PASS,none,NONE,False,False,,0.05843,0.02202,0.46934,1.42,1,0.010255,qa\_mockup_canonical\suite-registro-light-960x600.png,qa\_captures_v8\suite-registro-light-960x600.png,reports\qa\layered_visual_compare_registro\panels\suite_registro_light.png
