key,status,severity,repair_bucket,real_divergence,findings,raw_changed_ratio,mean_abs_diff,ssim,odiff_pct,max_bbox_delta_px,largest_region_ratio,canonical_file,actual_file,panel_path
hub:detalle-plan-activacion@dark,FAIL,high,LAYOUT_FIX,True,"raw_pixel_delta,layout_drift,qa_missed_raw_or_layout",0.38631,0.05188,0.5538,3.75,43,0.386311,reports\qa\layered_zip_compare_20260628\_sources\canonical\_mockup_canonical\hub-detalle-plan-activacion-dark-960x600.png,reports\qa\layered_zip_compare_20260628\_sources\actual\captures_v8_2026-06-28_031100\hub-detalle-plan-activacion-dark-960x600.png,reports\qa\layered_zip_compare_20260628\panels\hub_detalle-plan-activacion_dark.png
hub:detalle-plan-activacion@light,FAIL,high,LAYOUT_FIX,True,"raw_pixel_delta,layout_drift,qa_missed_raw_or_layout",0.37762,0.05877,0.55021,3.61,42,0.377616,reports\qa\layered_zip_compare_20260628\_sources\canonical\_mockup_canonical\hub-detalle-plan-activacion-light-960x600.png,reports\qa\layered_zip_compare_20260628\_sources\actual\captures_v8_2026-06-28_031100\hub-detalle-plan-activacion-light-960x600.png,reports\qa\layered_zip_compare_20260628\panels\hub_detalle-plan-activacion_light.png
hub:detalle-plan-rutina@dark,FAIL,high,LAYOUT_FIX,True,"raw_pixel_delta,layout_drift,qa_missed_raw_or_layout",0.44947,0.06092,0.41772,5.25,151,0.449465,reports\qa\layered_zip_compare_20260628\_sources\canonical\_mockup_canonical\hub-detalle-plan-rutina-dark-960x600.png,reports\qa\layered_zip_compare_20260628\_sources\actual\captures_v8_2026-06-28_031100\hub-detalle-plan-rutina-dark-960x600.png,reports\qa\layered_zip_compare_20260628\panels\hub_detalle-plan-rutina_dark.png
hub:detalle-plan-rutina@light,FAIL,high,LAYOUT_FIX,True,"raw_pixel_delta,layout_drift,qa_missed_raw_or_layout",0.44284,0.07251,0.37391,5.05,150,0.442842,reports\qa\layered_zip_compare_20260628\_sources\canonical\_mockup_canonical\hub-detalle-plan-rutina-light-960x600.png,reports\qa\layered_zip_compare_20260628\_sources\actual\captures_v8_2026-06-28_031100\hub-detalle-plan-rutina-light-960x600.png,reports\qa\layered_zip_compare_20260628\panels\hub_detalle-plan-rutina_light.png
hub:detalle-plan-timer@dark,FAIL,high,LAYOUT_FIX,True,"raw_pixel_delta,layout_drift,qa_missed_raw_or_layout",0.45219,0.06533,0.35884,6.04,143,0.452193,reports\qa\layered_zip_compare_20260628\_sources\canonical\_mockup_canonical\hub-detalle-plan-timer-dark-960x600.png,reports\qa\layered_zip_compare_20260628\_sources\actual\captures_v8_2026-06-28_031100\hub-detalle-plan-timer-dark-960x600.png,reports\qa\layered_zip_compare_20260628\panels\hub_detalle-plan-timer_dark.png
hub:detalle-plan-timer@light,FAIL,high,LAYOUT_FIX,True,"raw_pixel_delta,layout_drift,qa_missed_raw_or_layout",0.44912,0.07796,0.30535,5.96,142,0.449125,reports\qa\layered_zip_compare_20260628\_sources\canonical\_mockup_canonical\hub-detalle-plan-timer-light-960x600.png,reports\qa\layered_zip_compare_20260628\_sources\actual\captures_v8_2026-06-28_031100\hub-detalle-plan-timer-light-960x600.png,reports\qa\layered_zip_compare_20260628\panels\hub_detalle-plan-timer_light.png
hub:detalle-resumen-ia-0@dark,SIZE_MISMATCH,high,PAIRING_FIX,True,"size_mismatch,raw_pixel_delta,state_or_recipe_suspect",0.1967,0.06866,-0.00861,,0,0.050844,reports\qa\layered_zip_compare_20260628\_sources\canonical\_mockup_canonical\hub-detalle-resumen-ia-0-dark-560x220.png,reports\qa\layered_zip_compare_20260628\_sources\actual\captures_v8_2026-06-28_031100\hub-detalle-resumen-ia-0-dark-480x325.png,reports\qa\layered_zip_compare_20260628\panels\hub_detalle-resumen-ia-0_dark.png
hub:detalle-resumen-ia-0@light,SIZE_MISMATCH,high,PAIRING_FIX,True,"size_mismatch,raw_pixel_delta,state_or_recipe_suspect",0.20232,0.07702,0.09328,,0,0.057881,reports\qa\layered_zip_compare_20260628\_sources\canonical\_mockup_canonical\hub-detalle-resumen-ia-0-light-560x220.png,reports\qa\layered_zip_compare_20260628\_sources\actual\captures_v8_2026-06-28_031100\hub-detalle-resumen-ia-0-light-480x325.png,reports\qa\layered_zip_compare_20260628\panels\hub_detalle-resumen-ia-0_light.png
hub:detalle@dark,FAIL,high,LAYOUT_FIX,True,"raw_pixel_delta,layout_drift,qa_missed_raw_or_layout",0.42572,0.05996,0.42492,5.24,111,0.425717,reports\qa\layered_zip_compare_20260628\_sources\canonical\_mockup_canonical\hub-detalle-dark-960x600.png,reports\qa\layered_zip_compare_20260628\_sources\actual\captures_v8_2026-06-28_031100\hub-detalle-dark-960x600.png,reports\qa\layered_zip_compare_20260628\panels\hub_detalle_dark.png
hub:detalle@light,FAIL,high,LAYOUT_FIX,True,"raw_pixel_delta,layout_drift,qa_missed_raw_or_layout",0.41556,0.07048,0.38637,5.06,110,0.415561,reports\qa\layered_zip_compare_20260628\_sources\canonical\_mockup_canonical\hub-detalle-light-960x600.png,reports\qa\layered_zip_compare_20260628\_sources\actual\captures_v8_2026-06-28_031100\hub-detalle-light-960x600.png,reports\qa\layered_zip_compare_20260628\panels\hub_detalle_light.png
hub:pacientes-empty@dark,FAIL,medium,LAYOUT_FIX,True,"raw_pixel_delta,layout_drift,qa_missed_raw_or_layout",0.12378,0.02187,0.30276,1.35,43,0.085642,reports\qa\layered_zip_compare_20260628\_sources\canonical\_mockup_canonical\hub-pacientes-empty-dark-960x600.png,reports\qa\layered_zip_compare_20260628\_sources\actual\captures_v8_2026-06-28_031100\hub-pacientes-empty-dark-960x600.png,reports\qa\layered_zip_compare_20260628\panels\hub_pacientes-empty_dark.png
hub:pacientes-empty@light,FAIL,high,LAYOUT_FIX,True,"raw_pixel_delta,layout_drift,qa_missed_raw_or_layout",0.22697,0.0275,0.35084,1.25,42,0.226972,reports\qa\layered_zip_compare_20260628\_sources\canonical\_mockup_canonical\hub-pacientes-empty-light-960x600.png,reports\qa\layered_zip_compare_20260628\_sources\actual\captures_v8_2026-06-28_031100\hub-pacientes-empty-light-960x600.png,reports\qa\layered_zip_compare_20260628\panels\hub_pacientes-empty_light.png
hub:pacientes@dark,FAIL,high,LAYOUT_FIX,True,"raw_pixel_delta,layout_drift,qa_missed_raw_or_layout",0.28366,0.05323,0.12146,4.93,105,0.283661,reports\qa\layered_zip_compare_20260628\_sources\canonical\_mockup_canonical\hub-pacientes-dark-960x600.png,reports\qa\layered_zip_compare_20260628\_sources\actual\captures_v8_2026-06-28_031100\hub-pacientes-dark-960x600.png,reports\qa\layered_zip_compare_20260628\panels\hub_pacientes_dark.png
hub:pacientes@light,FAIL,high,LAYOUT_FIX,True,"raw_pixel_delta,layout_drift,qa_missed_raw_or_layout",0.36517,0.06038,0.12185,4.73,89,0.365172,reports\qa\layered_zip_compare_20260628\_sources\canonical\_mockup_canonical\hub-pacientes-light-960x600.png,reports\qa\layered_zip_compare_20260628\_sources\actual\captures_v8_2026-06-28_031100\hub-pacientes-light-960x600.png,reports\qa\layered_zip_compare_20260628\panels\hub_pacientes_light.png
hub:textos-globales@dark,FAIL,high,LAYOUT_FIX,True,"raw_pixel_delta,layout_drift,qa_missed_raw_or_layout",0.36355,0.05394,0.22753,2.49,17,0.363554,reports\qa\layered_zip_compare_20260628\_sources\canonical\_mockup_canonical\hub-textos-globales-dark-960x600.png,reports\qa\layered_zip_compare_20260628\_sources\actual\captures_v8_2026-06-28_031100\hub-textos-globales-dark-960x600.png,reports\qa\layered_zip_compare_20260628\panels\hub_textos-globales_dark.png
hub:textos-globales@light,FAIL,high,LAYOUT_FIX,True,"raw_pixel_delta,layout_drift,qa_missed_raw_or_layout",0.64067,0.05535,0.2401,2.09,17,0.640667,reports\qa\layered_zip_compare_20260628\_sources\canonical\_mockup_canonical\hub-textos-globales-light-960x600.png,reports\qa\layered_zip_compare_20260628\_sources\actual\captures_v8_2026-06-28_031100\hub-textos-globales-light-960x600.png,reports\qa\layered_zip_compare_20260628\panels\hub_textos-globales_light.png
suite:actividades-empty@dark,FAIL,medium,LAYOUT_FIX,True,"raw_pixel_delta,layout_drift,qa_missed_raw_or_layout",0.03241,0.01423,0.33845,0.95,337,0.003509,reports\qa\layered_zip_compare_20260628\_sources\canonical\_mockup_canonical\suite-actividades-empty-dark-960x600.png,reports\qa\layered_zip_compare_20260628\_sources\actual\captures_v8_2026-06-28_031100\suite-actividades-empty-dark-960x600.png,reports\qa\layered_zip_compare_20260628\panels\suite_actividades-empty_dark.png
suite:actividades-empty@light,FAIL,medium,LAYOUT_FIX,True,"raw_pixel_delta,layout_drift,qa_missed_raw_or_layout",0.0403,0.0161,0.47414,0.89,335,0.015818,reports\qa\layered_zip_compare_20260628\_sources\canonical\_mockup_canonical\suite-actividades-empty-light-960x600.png,reports\qa\layered_zip_compare_20260628\_sources\actual\captures_v8_2026-06-28_031100\suite-actividades-empty-light-960x600.png,reports\qa\layered_zip_compare_20260628\panels\suite_actividades-empty_light.png
suite:actividades-filtered@dark,FAIL,medium,STATE_RECIPE_OR_PRODUCT_FIX,True,"raw_pixel_delta,layout_drift,state_or_recipe_suspect,qa_missed_raw_or_layout",0.08111,0.02354,0.16389,1.89,19,0.019356,reports\qa\layered_zip_compare_20260628\_sources\canonical\_mockup_canonical\suite-actividades-filtered-dark-960x600.png,reports\qa\layered_zip_compare_20260628\_sources\actual\captures_v8_2026-06-28_031100\suite-actividades-filtered-dark-960x600.png,reports\qa\layered_zip_compare_20260628\panels\suite_actividades-filtered_dark.png
suite:actividades-filtered@light,FAIL,medium,STATE_RECIPE_OR_PRODUCT_FIX,True,"raw_pixel_delta,state_or_recipe_suspect,qa_missed_raw_or_layout",0.15222,0.02556,0.24083,1.81,11,0.049536,reports\qa\layered_zip_compare_20260628\_sources\canonical\_mockup_canonical\suite-actividades-filtered-light-960x600.png,reports\qa\layered_zip_compare_20260628\_sources\actual\captures_v8_2026-06-28_031100\suite-actividades-filtered-light-960x600.png,reports\qa\layered_zip_compare_20260628\panels\suite_actividades-filtered_light.png
suite:actividades-marked-hice@dark,FAIL,medium,STATE_RECIPE_OR_PRODUCT_FIX,True,"raw_pixel_delta,layout_drift,state_or_recipe_suspect,qa_missed_raw_or_layout",0.13985,0.03594,0.20661,2.55,19,0.008391,reports\qa\layered_zip_compare_20260628\_sources\canonical\_mockup_canonical\suite-actividades-marked-hice-dark-960x600.png,reports\qa\layered_zip_compare_20260628\_sources\actual\captures_v8_2026-06-28_031100\suite-actividades-marked-hice-dark-960x600.png,reports\qa\layered_zip_compare_20260628\panels\suite_actividades-marked-hice_dark.png
suite:actividades-marked-hice@light,FAIL,high,STATE_RECIPE_OR_PRODUCT_FIX,True,"raw_pixel_delta,state_or_recipe_suspect,qa_missed_raw_or_layout",0.18273,0.03393,0.27043,2.39,11,0.042113,reports\qa\layered_zip_compare_20260628\_sources\canonical\_mockup_canonical\suite-actividades-marked-hice-light-960x600.png,reports\qa\layered_zip_compare_20260628\_sources\actual\captures_v8_2026-06-28_031100\suite-actividades-marked-hice-light-960x600.png,reports\qa\layered_zip_compare_20260628\panels\suite_actividades-marked-hice_light.png
suite:actividades@dark,FAIL,medium,LAYOUT_FIX,True,"raw_pixel_delta,layout_drift,qa_missed_raw_or_layout",0.143,0.0365,0.2008,2.59,19,0.008391,reports\qa\layered_zip_compare_20260628\_sources\canonical\_mockup_canonical\suite-actividades-dark-960x600.png,reports\qa\layered_zip_compare_20260628\_sources\actual\captures_v8_2026-06-28_031100\suite-actividades-dark-960x600.png,reports\qa\layered_zip_compare_20260628\panels\suite_actividades_dark.png
suite:actividades@light,FAIL,high,VISUAL_STYLE_REVIEW,True,"raw_pixel_delta,qa_missed_raw_or_layout",0.18507,0.03442,0.26465,2.44,11,0.042113,reports\qa\layered_zip_compare_20260628\_sources\canonical\_mockup_canonical\suite-actividades-light-960x600.png,reports\qa\layered_zip_compare_20260628\_sources\actual\captures_v8_2026-06-28_031100\suite-actividades-light-960x600.png,reports\qa\layered_zip_compare_20260628\panels\suite_actividades_light.png
suite:animo@dark,FAIL,medium,LAYOUT_FIX,True,"raw_pixel_delta,layout_drift,qa_missed_raw_or_layout",0.1705,0.03763,0.28554,2.78,27,0.037146,reports\qa\layered_zip_compare_20260628\_sources\canonical\_mockup_canonical\suite-animo-dark-960x600.png,reports\qa\layered_zip_compare_20260628\_sources\actual\captures_v8_2026-06-28_031100\suite-animo-dark-960x600.png,reports\qa\layered_zip_compare_20260628\panels\suite_animo_dark.png
suite:animo@light,FAIL,high,VISUAL_STYLE_REVIEW,True,"raw_pixel_delta,qa_missed_raw_or_layout",0.20312,0.04413,0.2878,4.4,12,0.054191,reports\qa\layered_zip_compare_20260628\_sources\canonical\_mockup_canonical\suite-animo-light-960x600.png,reports\qa\layered_zip_compare_20260628\_sources\actual\captures_v8_2026-06-28_031100\suite-animo-light-960x600.png,reports\qa\layered_zip_compare_20260628\panels\suite_animo_light.png
suite:avisos-empty@dark,FAIL,medium,LAYOUT_FIX,True,"raw_pixel_delta,layout_drift,qa_missed_raw_or_layout",0.03234,0.01418,0.34292,0.99,337,0.00351,reports\qa\layered_zip_compare_20260628\_sources\canonical\_mockup_canonical\suite-avisos-empty-dark-960x600.png,reports\qa\layered_zip_compare_20260628\_sources\actual\captures_v8_2026-06-28_031100\suite-avisos-empty-dark-960x600.png,reports\qa\layered_zip_compare_20260628\panels\suite_avisos-empty_dark.png
suite:avisos-empty@light,FAIL,medium,LAYOUT_FIX,True,"raw_pixel_delta,layout_drift,qa_missed_raw_or_layout",0.04028,0.01616,0.46938,0.93,335,0.015818,reports\qa\layered_zip_compare_20260628\_sources\canonical\_mockup_canonical\suite-avisos-empty-light-960x600.png,reports\qa\layered_zip_compare_20260628\_sources\actual\captures_v8_2026-06-28_031100\suite-avisos-empty-light-960x600.png,reports\qa\layered_zip_compare_20260628\panels\suite_avisos-empty_light.png
suite:avisos-filter-activos@dark,FAIL,medium,STATE_RECIPE_OR_PRODUCT_FIX,True,"raw_pixel_delta,layout_drift,state_or_recipe_suspect,qa_missed_raw_or_layout",0.14595,0.02656,0.15561,1.97,220,0.022366,reports\qa\layered_zip_compare_20260628\_sources\canonical\_mockup_canonical\suite-avisos-filter-activos-dark-960x600.png,reports\qa\layered_zip_compare_20260628\_sources\actual\captures_v8_2026-06-28_031100\suite-avisos-filter-activos-dark-960x600.png,reports\qa\layered_zip_compare_20260628\panels\suite_avisos-filter-activos_dark.png
suite:avisos-filter-activos@light,FAIL,medium,STATE_RECIPE_OR_PRODUCT_FIX,True,"raw_pixel_delta,state_or_recipe_suspect,qa_missed_raw_or_layout",0.17762,0.03075,0.23351,1.85,11,0.020137,reports\qa\layered_zip_compare_20260628\_sources\canonical\_mockup_canonical\suite-avisos-filter-activos-light-960x600.png,reports\qa\layered_zip_compare_20260628\_sources\actual\captures_v8_2026-06-28_031100\suite-avisos-filter-activos-light-960x600.png,reports\qa\layered_zip_compare_20260628\panels\suite_avisos-filter-activos_light.png
suite:avisos-search@dark,FAIL,medium,STATE_RECIPE_OR_PRODUCT_FIX,True,"raw_pixel_delta,layout_drift,state_or_recipe_suspect,qa_missed_raw_or_layout",0.06724,0.01466,0.25775,1.1,448,0.019342,reports\qa\layered_zip_compare_20260628\_sources\canonical\_mockup_canonical\suite-avisos-search-dark-960x600.png,reports\qa\layered_zip_compare_20260628\_sources\actual\captures_v8_2026-06-28_031100\suite-avisos-search-dark-960x600.png,reports\qa\layered_zip_compare_20260628\panels\suite_avisos-search_dark.png
suite:avisos-search@light,FAIL,medium,STATE_RECIPE_OR_PRODUCT_FIX,True,"raw_pixel_delta,state_or_recipe_suspect,qa_missed_raw_or_layout",0.08577,0.0171,0.40408,0.99,11,0.019434,reports\qa\layered_zip_compare_20260628\_sources\canonical\_mockup_canonical\suite-avisos-search-light-960x600.png,reports\qa\layered_zip_compare_20260628\_sources\actual\captures_v8_2026-06-28_031100\suite-avisos-search-light-960x600.png,reports\qa\layered_zip_compare_20260628\panels\suite_avisos-search_light.png
suite:avisos-today@dark,FAIL,medium,STATE_RECIPE_OR_PRODUCT_FIX,True,"raw_pixel_delta,layout_drift,state_or_recipe_suspect,qa_missed_raw_or_layout",0.12776,0.02444,0.14806,1.81,296,0.022125,reports\qa\layered_zip_compare_20260628\_sources\canonical\_mockup_canonical\suite-avisos-today-dark-960x600.png,reports\qa\layered_zip_compare_20260628\_sources\actual\captures_v8_2026-06-28_031100\suite-avisos-today-dark-960x600.png,reports\qa\layered_zip_compare_20260628\panels\suite_avisos-today_dark.png
suite:avisos-today@light,FAIL,medium,STATE_RECIPE_OR_PRODUCT_FIX,True,"raw_pixel_delta,state_or_recipe_suspect,qa_missed_raw_or_layout",0.15675,0.02773,0.24165,1.69,11,0.020137,reports\qa\layered_zip_compare_20260628\_sources\canonical\_mockup_canonical\suite-avisos-today-light-960x600.png,reports\qa\layered_zip_compare_20260628\_sources\actual\captures_v8_2026-06-28_031100\suite-avisos-today-light-960x600.png,reports\qa\layered_zip_compare_20260628\panels\suite_avisos-today_light.png
suite:avisos@dark,FAIL,medium,LAYOUT_FIX,True,"raw_pixel_delta,layout_drift,qa_missed_raw_or_layout",0.17693,0.03176,0.16308,2.24,144,0.022847,reports\qa\layered_zip_compare_20260628\_sources\canonical\_mockup_canonical\suite-avisos-dark-960x600.png,reports\qa\layered_zip_compare_20260628\_sources\actual\captures_v8_2026-06-28_031100\suite-avisos-dark-960x600.png,reports\qa\layered_zip_compare_20260628\panels\suite_avisos_dark.png
suite:avisos@light,FAIL,high,LAYOUT_FIX,True,"raw_pixel_delta,layout_drift,qa_missed_raw_or_layout",0.20995,0.03571,0.22095,2.07,11,0.209951,reports\qa\layered_zip_compare_20260628\_sources\canonical\_mockup_canonical\suite-avisos-light-960x600.png,reports\qa\layered_zip_compare_20260628\_sources\actual\captures_v8_2026-06-28_031100\suite-avisos-light-960x600.png,reports\qa\layered_zip_compare_20260628\panels\suite_avisos_light.png
suite:dbt-library@dark,FAIL,medium,LAYOUT_FIX,True,"raw_pixel_delta,layout_drift,qa_missed_raw_or_layout",0.15236,0.04211,0.24776,3.34,60,0.01095,reports\qa\layered_zip_compare_20260628\_sources\canonical\_mockup_canonical\suite-dbt-library-dark-960x600.png,reports\qa\layered_zip_compare_20260628\_sources\actual\captures_v8_2026-06-28_031100\suite-dbt-library-dark-960x600.png,reports\qa\layered_zip_compare_20260628\panels\suite_dbt-library_dark.png
suite:dbt-library@light,FAIL,medium,VISUAL_STYLE_REVIEW,True,"raw_pixel_delta,qa_missed_raw_or_layout",0.13701,0.04108,0.26662,3.19,12,0.015788,reports\qa\layered_zip_compare_20260628\_sources\canonical\_mockup_canonical\suite-dbt-library-light-960x600.png,reports\qa\layered_zip_compare_20260628\_sources\actual\captures_v8_2026-06-28_031100\suite-dbt-library-light-960x600.png,reports\qa\layered_zip_compare_20260628\panels\suite_dbt-library_light.png
suite:dbt-now@dark,FAIL,medium,LAYOUT_FIX,True,"raw_pixel_delta,layout_drift,qa_missed_raw_or_layout",0.11628,0.03093,0.20153,2.18,162,0.013703,reports\qa\layered_zip_compare_20260628\_sources\canonical\_mockup_canonical\suite-dbt-now-dark-960x600.png,reports\qa\layered_zip_compare_20260628\_sources\actual\captures_v8_2026-06-28_031100\suite-dbt-now-dark-960x600.png,reports\qa\layered_zip_compare_20260628\panels\suite_dbt-now_dark.png
suite:dbt-now@light,FAIL,medium,VISUAL_STYLE_REVIEW,True,"raw_pixel_delta,qa_missed_raw_or_layout",0.10742,0.02861,0.26009,1.9,12,0.015818,reports\qa\layered_zip_compare_20260628\_sources\canonical\_mockup_canonical\suite-dbt-now-light-960x600.png,reports\qa\layered_zip_compare_20260628\_sources\actual\captures_v8_2026-06-28_031100\suite-dbt-now-light-960x600.png,reports\qa\layered_zip_compare_20260628\panels\suite_dbt-now_light.png
suite:dbt-practice-stop@dark,FAIL,high,STATE_RECIPE_OR_PRODUCT_FIX,True,"raw_pixel_delta,layout_drift,state_or_recipe_suspect,qa_missed_raw_or_layout",0.21457,0.03758,0.26374,2.84,64,0.214566,reports\qa\layered_zip_compare_20260628\_sources\canonical\_mockup_canonical\suite-dbt-practice-stop-dark-960x600.png,reports\qa\layered_zip_compare_20260628\_sources\actual\captures_v8_2026-06-28_031100\suite-dbt-practice-stop-dark-960x600.png,reports\qa\layered_zip_compare_20260628\panels\suite_dbt-practice-stop_dark.png
