file,key,view,theme,surface,resolution,status,delta_class,baseline_mode,escalated,baseline_pair_count,mod_pair_count,baseline_mean,baseline_max,mod_mean,mod_max,mean_limit,max_limit,baseline_changed_pixel_ratio,mod_changed_pixel_ratio,failure_reason,original_a_file,original_b_file,modified_file
hub-pacientes-light-960x600.png,hub:pacientes@light,pacientes,light,window,960x600,PASS,EOL_ONLY_DELTA,single_1x1,False,1,1,0.0,0.0,0.0,0.0,5.0,50.0,0.0,0.0,,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\original_A\hub-pacientes-light-960x600.png,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\original_B\hub-pacientes-light-960x600.png,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\modified\hub-pacientes-light-960x600.png
hub-pacientes-dark-960x600.png,hub:pacientes@dark,pacientes,dark,window,960x600,PASS,EOL_ONLY_DELTA,single_1x1,False,1,1,0.000489,37.0,0.002273,65.0,5.0,65.5,0.000283,0.000398,,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\original_A\hub-pacientes-dark-960x600.png,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\original_B\hub-pacientes-dark-960x600.png,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\modified\hub-pacientes-dark-960x600.png
hub-pacientes-empty-light-960x600.png,hub:pacientes-empty@light,pacientes-empty,light,window,960x600,PASS,EOL_ONLY_DELTA,single_1x1,False,1,1,0.002594,47.0,8e-05,4.0,5.0,80.5,0.00021,7.1e-05,,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\original_A\hub-pacientes-empty-light-960x600.png,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\original_B\hub-pacientes-empty-light-960x600.png,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\modified\hub-pacientes-empty-light-960x600.png
hub-pacientes-empty-dark-960x600.png,hub:pacientes-empty@dark,pacientes-empty,dark,window,960x600,PASS,EOL_ONLY_DELTA,single_1x1,False,1,1,7.5e-05,3.0,0.001726,40.0,5.0,50.0,0.000101,0.000186,,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\original_A\hub-pacientes-empty-dark-960x600.png,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\original_B\hub-pacientes-empty-dark-960x600.png,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\modified\hub-pacientes-empty-dark-960x600.png
hub-detalle-light-960x600.png,hub:detalle@light,detalle,light,window,960x600,PASS,EOL_ONLY_DELTA,single_1x1,False,1,1,0.0,0.0,0.0,0.0,5.0,50.0,0.0,0.0,,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\original_A\hub-detalle-light-960x600.png,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\original_B\hub-detalle-light-960x600.png,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\modified\hub-detalle-light-960x600.png
hub-detalle-dark-960x600.png,hub:detalle@dark,detalle,dark,window,960x600,PASS,EOL_ONLY_DELTA,single_1x1,False,1,1,0.0,0.0,0.0,0.0,5.0,50.0,0.0,0.0,,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\original_A\hub-detalle-dark-960x600.png,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\original_B\hub-detalle-dark-960x600.png,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\modified\hub-detalle-dark-960x600.png
hub-detalle-plan-timer-light-960x600.png,hub:detalle-plan-timer@light,detalle-plan-timer,light,window,960x600,PASS,EOL_ONLY_DELTA,single_1x1,False,1,1,0.0,0.0,0.0,0.0,5.0,50.0,0.0,0.0,,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\original_A\hub-detalle-plan-timer-light-960x600.png,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\original_B\hub-detalle-plan-timer-light-960x600.png,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\modified\hub-detalle-plan-timer-light-960x600.png
hub-detalle-plan-timer-dark-960x600.png,hub:detalle-plan-timer@dark,detalle-plan-timer,dark,window,960x600,PASS,EOL_ONLY_DELTA,single_1x1,False,1,1,0.0,0.0,0.0,0.0,5.0,50.0,0.0,0.0,,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\original_A\hub-detalle-plan-timer-dark-960x600.png,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\original_B\hub-detalle-plan-timer-dark-960x600.png,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\modified\hub-detalle-plan-timer-dark-960x600.png
hub-detalle-plan-rutina-light-960x600.png,hub:detalle-plan-rutina@light,detalle-plan-rutina,light,window,960x600,PASS,EOL_ONLY_DELTA,single_1x1,False,1,1,0.0,0.0,0.0,0.0,5.0,50.0,0.0,0.0,,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\original_A\hub-detalle-plan-rutina-light-960x600.png,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\original_B\hub-detalle-plan-rutina-light-960x600.png,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\modified\hub-detalle-plan-rutina-light-960x600.png
hub-detalle-plan-rutina-dark-960x600.png,hub:detalle-plan-rutina@dark,detalle-plan-rutina,dark,window,960x600,PASS,EOL_ONLY_DELTA,single_1x1,False,1,1,0.0,0.0,0.0,0.0,5.0,50.0,0.0,0.0,,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\original_A\hub-detalle-plan-rutina-dark-960x600.png,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\original_B\hub-detalle-plan-rutina-dark-960x600.png,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\modified\hub-detalle-plan-rutina-dark-960x600.png
hub-detalle-plan-activacion-light-960x600.png,hub:detalle-plan-activacion@light,detalle-plan-activacion,light,window,960x600,PASS,EOL_ONLY_DELTA,single_1x1,False,1,1,0.0,0.0,0.0,0.0,5.0,50.0,0.0,0.0,,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\original_A\hub-detalle-plan-activacion-light-960x600.png,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\original_B\hub-detalle-plan-activacion-light-960x600.png,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\modified\hub-detalle-plan-activacion-light-960x600.png
hub-detalle-plan-activacion-dark-960x600.png,hub:detalle-plan-activacion@dark,detalle-plan-activacion,dark,window,960x600,PASS,EOL_ONLY_DELTA,single_1x1,False,1,1,0.0,0.0,0.0,0.0,5.0,50.0,0.0,0.0,,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\original_A\hub-detalle-plan-activacion-dark-960x600.png,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\original_B\hub-detalle-plan-activacion-dark-960x600.png,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\modified\hub-detalle-plan-activacion-dark-960x600.png
hub-detalle-resumen-ia-0-light-560x220.png,hub:detalle-resumen-ia-0@light,detalle-resumen-ia-0,light,modal,560x220,FAIL,EOL_ONLY_DELTA,single_1x1,False,1,1,0.0,0.0,1.80734,154.0,5.0,50.0,0.0,0.121047,dynamic_baseline_exceeded,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\original_A\hub-detalle-resumen-ia-0-light-560x220.png,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\original_B\hub-detalle-resumen-ia-0-light-560x220.png,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\modified\hub-detalle-resumen-ia-0-light-560x220.png
hub-detalle-resumen-ia-0-dark-560x220.png,hub:detalle-resumen-ia-0@dark,detalle-resumen-ia-0,dark,modal,560x220,PASS,EOL_ONLY_DELTA,single_1x1,False,1,1,1.750319,147.0,1.76099,147.0,5.0,230.5,0.117354,0.118076,,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\original_A\hub-detalle-resumen-ia-0-dark-560x220.png,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\original_B\hub-detalle-resumen-ia-0-dark-560x220.png,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\modified\hub-detalle-resumen-ia-0-dark-560x220.png
hub-textos-globales-light-960x600.png,hub:textos-globales@light,textos-globales,light,window,960x600,PASS,EOL_ONLY_DELTA,single_1x1,False,1,1,0.0,0.0,0.0,0.0,5.0,50.0,0.0,0.0,,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\original_A\hub-textos-globales-light-960x600.png,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\original_B\hub-textos-globales-light-960x600.png,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\modified\hub-textos-globales-light-960x600.png
hub-textos-globales-dark-960x600.png,hub:textos-globales@dark,textos-globales,dark,window,960x600,PASS,EOL_ONLY_DELTA,single_1x1,False,1,1,0.0,0.0,0.0,0.0,5.0,50.0,0.0,0.0,,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\original_A\hub-textos-globales-dark-960x600.png,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\original_B\hub-textos-globales-dark-960x600.png,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\modified\hub-textos-globales-dark-960x600.png
suite-home-light-960x600.png,suite:home@light,home,light,window,960x600,PASS,EOL_ONLY_DELTA,single_1x1,False,1,1,0.003302,8.0,0.000204,35.0,5.0,50.0,0.001226,9.2e-05,,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\original_A\suite-home-light-960x600.png,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\original_B\suite-home-light-960x600.png,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\modified\suite-home-light-960x600.png
suite-home-dark-960x600.png,suite:home@dark,home,dark,window,960x600,PASS,EOL_ONLY_DELTA,single_1x1,False,1,1,0.000501,41.0,0.000395,42.0,5.0,71.5,0.000601,0.000606,,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\original_A\suite-home-dark-960x600.png,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\original_B\suite-home-dark-960x600.png,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\modified\suite-home-dark-960x600.png
suite-home-no-score-light-960x600.png,suite:home-no-score@light,home-no-score,light,window,960x600,PASS,EOL_ONLY_DELTA,single_1x1,False,1,1,6.3e-05,3.0,0.000163,19.0,5.0,50.0,6.9e-05,5.7e-05,,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\original_A\suite-home-no-score-light-960x600.png,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\original_B\suite-home-no-score-light-960x600.png,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\modified\suite-home-no-score-light-960x600.png
suite-home-no-score-dark-960x600.png,suite:home-no-score@dark,home-no-score,dark,window,960x600,PASS,EOL_ONLY_DELTA,single_1x1,False,1,1,0.000157,17.0,0.000201,17.0,5.0,50.0,8.3e-05,0.000141,,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\original_A\suite-home-no-score-dark-960x600.png,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\original_B\suite-home-no-score-dark-960x600.png,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\modified\suite-home-no-score-dark-960x600.png
suite-animo-light-960x600.png,suite:animo@light,animo,light,window,960x600,PASS,EOL_ONLY_DELTA,single_1x1,False,1,1,0.000246,1.0,0.000242,1.0,5.0,50.0,0.000316,0.000313,,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\original_A\suite-animo-light-960x600.png,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\original_B\suite-animo-light-960x600.png,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\modified\suite-animo-light-960x600.png
suite-animo-dark-960x600.png,suite:animo@dark,animo,dark,window,960x600,PASS,EOL_ONLY_DELTA,single_1x1,False,1,1,1.2e-05,4.0,9e-06,1.0,5.0,50.0,1e-05,1.2e-05,,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\original_A\suite-animo-dark-960x600.png,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\original_B\suite-animo-dark-960x600.png,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\modified\suite-animo-dark-960x600.png
suite-respiracion-light-960x600.png,suite:respiracion@light,respiracion,light,window,960x600,PASS,EOL_ONLY_DELTA,single_1x1,False,1,1,0.000175,3.0,0.000125,3.0,5.0,50.0,0.000259,0.000182,,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\original_A\suite-respiracion-light-960x600.png,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\original_B\suite-respiracion-light-960x600.png,C:\Users\nosom\Desktop\nm_suite\reports\qa\mockup_parity_baseline\current_smoke\renders\modified\suite-respiracion-light-960x600.png
