key,status,severity,repair_bucket,real_divergence,findings,raw_changed_ratio,mean_abs_diff,ssim,odiff_pct,max_bbox_delta_px,largest_region_ratio,canonical_file,actual_file,panel_path
hub:detalle-plan-activacion@dark,MISSING_ACTUAL,high,PAIRING_FIX,True,missing_actual,,,,,,,qa\_mockup_canonical\hub-detalle-plan-activacion-dark-960x600.png,,
hub:detalle-plan-activacion@light,MISSING_ACTUAL,high,PAIRING_FIX,True,missing_actual,,,,,,,qa\_mockup_canonical\hub-detalle-plan-activacion-light-960x600.png,,
hub:detalle-plan-rutina@dark,MISSING_ACTUAL,high,PAIRING_FIX,True,missing_actual,,,,,,,qa\_mockup_canonical\hub-detalle-plan-rutina-dark-960x600.png,,
hub:detalle-plan-rutina@light,MISSING_ACTUAL,high,PAIRING_FIX,True,missing_actual,,,,,,,qa\_mockup_canonical\hub-detalle-plan-rutina-light-960x600.png,,
hub:detalle-plan-timer@dark,MISSING_ACTUAL,high,PAIRING_FIX,True,missing_actual,,,,,,,qa\_mockup_canonical\hub-detalle-plan-timer-dark-960x600.png,,
hub:detalle-plan-timer@light,MISSING_ACTUAL,high,PAIRING_FIX,True,missing_actual,,,,,,,qa\_mockup_canonical\hub-detalle-plan-timer-light-960x600.png,,
hub:detalle-resumen-ia-0@dark,MISSING_ACTUAL,high,PAIRING_FIX,True,missing_actual,,,,,,,qa\_mockup_canonical\hub-detalle-resumen-ia-0-dark-560x220.png,,
hub:detalle-resumen-ia-0@light,MISSING_ACTUAL,high,PAIRING_FIX,True,missing_actual,,,,,,,qa\_mockup_canonical\hub-detalle-resumen-ia-0-light-560x220.png,,
hub:detalle@dark,MISSING_ACTUAL,high,PAIRING_FIX,True,missing_actual,,,,,,,qa\_mockup_canonical\hub-detalle-dark-960x600.png,,
hub:detalle@light,MISSING_ACTUAL,high,PAIRING_FIX,True,missing_actual,,,,,,,qa\_mockup_canonical\hub-detalle-light-960x600.png,,
